No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
221,350 microns,10.5,+/-3.3,Jy,8.57E11,10.5,3.3,3.3,,,+/-3.30E+00,Jy,1989ApJ...339..859E,uncertainty,350   microns,Broad-band measurement,,Flux in fixed aperture,"104"" aperture",From new raw data
227,689 GHz (SMA),2.5,+/-0.8,Jy,6.89E11,2.5,0.8,0.8,,,+/-8.00E-01,Jy,2009ApJ...693...56M,uncertainty,689.13 GHz,Broad-band measurement,15 34 57.19 +23 30 11.3 (J2000),Total flux,,From new raw data
228,450 microns,3.0,+/-1.1,Jy,6.67E11,3.0,1.1,1.1,,,+/-1.10E+00,Jy,1989ApJ...339..859E,uncertainty,450   microns,Broad-band measurement,,Flux in fixed aperture,"104"" aperture",From new raw data
229,450 microns (SCUBA),6286.0,+/-786,milliJy,6.66E11,6.29,0.786,0.786,,,+/-7.86E-01,Jy,2001MNRAS.327..697D,uncertainty,450   microns,Broad-band measurement,15 34 57.2 +23 30 11 (J2000),Flux integrated from map,,From new raw data
230,500 microns (SPIRE),3.9,+/-0.2,Jy,6.0E11,3.9,0.2,0.2,,,+/-2.00E-01,Jy,2011ApJ...743...94R,uncertainty,500 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
231,500 microns (BLAST),3.9,,Jy,6.0E11,3.9,,,,,,Jy,2008ApJ...681..415T,no uncertainty reported,500 microns,Broad-band measurement,15 34 57.21 +23 30 09.5 (J2000),Modelled datum,,Averaged from previously published data
237,800 microns,0.825,+/-0.056,Jy,3.75E11,0.825,0.056,0.056,,,+/-5.60E-02,Jy,1996MNRAS.278.1049R,based on count statistics only,800        microns,Broad-band measurement,153457.22 +233011.40 (J2000),Flux in fixed aperture,"19"" FWHP",From new raw data
238,800 microns,1.1,+/-0.4,Jy,3.75E11,1.1,0.4,0.4,,,+/-4.00E-01,Jy,1989ApJ...339..859E,uncertainty,800   microns,Broad-band measurement,,Flux in fixed aperture,"104"" aperture",From new raw data
244,850 microns (SCUBA),455.7,+/-46.9,milliJy,3.53E11,0.456,0.0469,0.0469,,,+/-4.69E-02,Jy,2004MNRAS.352..673A,uncertainty,850 microns,Broad-band measurement,15 34 57.22 +23 30 11.61 (J2000),Flux integrated from map,,From new raw data
245,850 microns (SCUBA),832.0,+/-86,milliJy,3.53E11,0.832,0.086,0.086,,,+/-8.60E-02,Jy,2000MNRAS.315..115D,uncertainty,850       microns,Broad-band measurement,153457.2 +233011 (J2000),Flux integrated from map,,From new raw data; Corrected for contaminating sources
248,0.87 mm (SMA),0.18,+/-10  %,Jy,3.45E11,0.18,0.018,0.018,,,+/-1.80E-02,Jy,2009ApJ...700L.104S,1 sigma,0.87   mm,Broad-band measurement,,Flux integrated from map,East nucleaus flux,From new raw data
249,0.87 mm (SMA),0.49,+/-10  %,Jy,3.45E11,0.49,0.049,0.049,,,+/-4.90E-02,Jy,2009ApJ...700L.104S,1 sigma,0.87   mm,Broad-band measurement,,Flux integrated from map,West nucleaus flux,From new raw data
251,277 GHz (SMA),57.6,+/-16,milliJy,2.77E11,0.0576,0.016,0.016,,,+/-1.60E-02,Jy,2009A&A...493..481A,uncertainty,277  GHz,Broad-band measurement,15 34 57.31 +23 30 11.4 (J2000),Flux integrated from map,East nucleus,From new raw data
252,277 GHz (SMA),152.0,+/-19,milliJy,2.77E11,0.152,0.019,0.019,,,+/-1.90E-02,Jy,2009A&A...493..481A,uncertainty,277  GHz,Broad-band measurement,15 34 57.23 +23 30 11.5 (J2000),Flux integrated from map,West nucleus,From new raw data
253,1.1 mm (SMA),0.07,+/-15  %,Jy,2.73E11,0.07,0.0105,0.0105,,,+/-1.05E-02,Jy,2009ApJ...700L.104S,1 sigma,1.1    mm,Broad-band measurement,,Flux integrated from map,East nucleaus flux,From new raw data
254,1.1 mm (SMA),0.33,+/-0.05,Jy,2.73E11,0.33,0.05,0.05,,,+/-5.00E-02,Jy,2009ApJ...700L.104S,uncertainty,1.1    mm,Broad-band measurement,,Flux integrated from map,,From new raw data
255,1100 microns,0.35,+/-0.019,Jy,2.73E11,0.35,0.019,0.019,,,+/-1.90E-02,Jy,1996MNRAS.278.1049R,based on count statistics only,1100       microns,Broad-band measurement,153457.22 +233011.40 (J2000),Flux in fixed aperture,"19"" FWHP",From new raw data
256,1100 microns,,<0.6,Jy,2.73E11,,,,0.6,,<6.00E-01,Jy,1989ApJ...339..859E,3 sigma,1100   microns,Broad-band measurement,,Flux in fixed aperture,"104"" aperture",From new raw data
257,1.1 mm (SMA),0.2,+/-15  %,Jy,2.73E11,0.2,0.03,0.03,,,+/-3.00E-02,Jy,2009ApJ...700L.104S,1 sigma,1.1    mm,Broad-band measurement,,Flux integrated from map,West nucleaus flux,From new raw data
261,240.904 GHz (SMA),216.0,,milliJy,2.41E11,0.216,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,240.904 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.2""; PA = -55deg",From new raw data
262,1.25 mm (NIKA),243.0,+/-3,milliJy,2.4E11,0.243,0.003,0.003,,,+/-3.00E-03,Jy,2014A&A...569A...9C,statistical error,1.25 mm,Broad-band measurement,15 34 57.100 +23 30 11.000 (J2000),From fitting to map,,From new raw data
263,1.25 mm,0.226,+/-0.01,Jy,2.4E11,0.226,0.01,0.01,,,+/-1.00E-02,Jy,1992PASP..104.1086C,uncertainty,1.25   mm,Broad-band measurement,,Flux in fixed aperture,"30"" aperture",From new raw data
264,238.920 GHz (SMA),205.0,,milliJy,2.39E11,0.205,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,238.920 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.1"" x 2.4""; PA = -54deg",From new raw data
265,236.936 GHz (SMA),204.0,,milliJy,2.37E11,0.204,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,236.936 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.4""; PA = -50deg",From new raw data
266,234.952 GHz (SMA),177.0,,milliJy,2.35E11,0.177,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,234.952 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.7"" x 2.8""; PA = -41deg",From new raw data
267,232.968 GHz (SMA),153.0,,milliJy,2.33E11,0.153,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,232.968 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.4""; PA = -47deg",From new raw data
268,230.904 GHz (SMA),503.0,,milliJy,2.31E11,0.503,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,230.904 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.3""; PA = -61deg",From new raw data
269,1.3 mm,1.8,+/-0.5,Jy,2.31E11,1.8,0.5,0.5,,,+/-5.00E-01,Jy,1986A&A...166L...8C,statistical error,1.3        A,Broad-band measurement,,Flux in fixed aperture,"1/2 power beamwidth=90""; abs errors 20%",From new raw data
270,1.3 mm (NRAO),0.34,+/-0.08,Jy,2.31E11,0.34,0.08,0.08,,,+/-8.00E-02,Jy,1987ApJ...318..645T,uncertainty,1.3 mm,Broad-band measurement,153247.3 +234006 (B1950),Not reported in paper,"Beam size = 33""",From new raw data
273,228.920 GHz (SMA),194.0,,milliJy,2.29E11,0.194,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,228.920 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.2"" x 2.4""; PA = -62deg",From new raw data
274,226.936 GHz (SMA),202.0,,milliJy,2.27E11,0.202,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,226.936 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.6""; PA = -54deg",From new raw data
275,226 GHz (SMA),167.0,+/-33,milliJy,2.26E11,0.167,0.033,0.033,,,+/-3.30E-02,Jy,2009ApJ...693...56M,uncertainty,226.46 GHz,Broad-band measurement,15 34 57.19 +23 30 11.3 (J2000),Total flux,,From new raw data
276,224.952 GHz (SMA),165.0,,milliJy,2.25E11,0.165,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,224.952 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.6"" x 2.9""; PA = -49deg",From new raw data
277,222.968 GHz (SMA),145.0,,milliJy,2.23E11,0.145,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,222.968 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 2.9"" x 2.6""; PA = -49deg",From new raw data
278,1350 microns (SCUBA),271.0,+/-32.3,milliJy,2.22E11,0.271,0.0323,0.0323,,,+/-3.23E-02,Jy,2004MNRAS.352..673A,uncertainty,1350 microns,Broad-band measurement,15 34 57.22 +23 30 11.61 (J2000),Flux integrated from map,,From new raw data
279,220.984 GHz (SMA),218.0,,milliJy,2.21E11,0.218,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,220.984 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 9.5"" x 6.7""; PA = +47deg",From new raw data
283,219.000 GHz (SMA),255.0,,milliJy,2.19E11,0.255,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,219.000 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 7.3"" x 4.8""; PA = +76deg",From new raw data
284,217.016 GHz (SMA),178.0,,milliJy,2.17E11,0.178,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,217.016 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 8.4"" x 6.1""; PA = +77deg",From new raw data
285,216 GHz (SMA),160.0,+/-32,milliJy,2.16E11,0.16,0.032,0.032,,,+/-3.20E-02,Jy,2009ApJ...693...56M,uncertainty,216.46 GHz,Broad-band measurement,15 34 57.19 +23 30 11.3 (J2000),Total flux,,From new raw data
286,215.032 GHz (SMA),156.0,,milliJy,2.15E11,0.156,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,215.032 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 8.5"" x 7.0""; PA = +77deg",From new raw data
287,213.048 GHz (SMA),145.0,,milliJy,2.13E11,0.145,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,213.048 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.8"" x 2.8""; PA = +82deg",From new raw data
288,210.984 GHz (SMA),177.0,,milliJy,2.11E11,0.177,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,210.984 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 10.0"" x 6.9; PA = +47deg",From new raw data
289,209.000 GHz (SMA),175.0,,milliJy,2.09E11,0.175,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,209.000 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 7.6"" x 5.0""; PA = +76deg",From new raw data
290,207.016 GHz (SMA),143.0,,milliJy,2.07E11,0.143,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,207.016 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 8.8"" x 6.2""; PA = +76deg",From new raw data
291,205.032 GHz (SMA),135.0,,milliJy,2.05E11,0.135,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,205.032 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 8.8"" x 7.3""; PA = +76deg",From new raw data
292,203.048 GHz (SMA),152.0,,milliJy,2.03E11,0.152,,,,,,Jy,2011A&A...527A..36M,no uncertainty reported,203.048 GHz,Broad-band measurement,,Flux integrated from map,"Beam = 3.9"" x 3.0""; PA = +82deg",From new raw data
293,H_2O (3_13-2_20) VLA,170.0,,milliJy,1.83E11,0.17,,,,,,Jy,2006ApJ...649..635R,no uncertainty reported,183.3101   GHz,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
294,2000 microns (SCUBA),88.1,+/-8.8,milliJy,1.5E11,0.0881,0.0088,0.0088,,,+/-8.80E-03,Jy,2004MNRAS.352..673A,uncertainty,2000 microns,Broad-band measurement,15 34 57.22 +23 30 11.61 (J2000),Flux integrated from map,,From new raw data
295,2.14 mm (NIKA),52.8,+/-0.8,milliJy,1.4E11,0.0528,8.0E-4,8.0E-4,,,+/-8.00E-04,Jy,2014A&A...569A...9C,statistical error,2.14 mm,Broad-band measurement,15 34 57.100 +23 30 11.000 (J2000),From fitting to map,,From new raw data
302,87.34 GHz (NMA),30.0,,milliJy,8.73E10,0.03,,,,,,Jy,2007AJ....134.2366I,no uncertainty reported,87.34 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
303,32.5 GHz (EVLA),59.5,+/-2.5,milliJy,3.25E10,0.0595,0.0025,0.0025,,,+/-2.50E-03,Jy,2011ApJ...739L..25L,statistical error,32.5 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
304,8085 MHz,0.17,+/-0.02,Jy,8.08E9,0.17,0.0158,0.0158,,,+/-1.58E-02,Jy,1983AJ.....88...20C,rms uncertainty,8085       MHz,Broad-band measurement,153246.90 +2340 8.2 (B1950),Flux integrated from map,,From new raw data
305,7.0 GHz (ATA),0.19,+/-0.02,Jy,7.0E9,0.19,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,7.0 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
306,6.7 GHz (ATA),0.23,+/-0.03,Jy,6.7E9,0.23,0.03,0.03,,,+/-3.00E-02,Jy,2010ApJ...710.1462W,uncertainty,6.7 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
307,6.3 GHz (ATA),0.2,+/-0.03,Jy,6.3E9,0.2,0.03,0.03,,,+/-3.00E-02,Jy,2010ApJ...710.1462W,uncertainty,6.3 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
308,6.3 GHz (ATA),0.2,+/-0.01,Jy,6.3E9,0.2,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,6.3 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
309,6.2 GHz (ATA),0.29,+/-0.03,Jy,6.2E9,0.29,0.03,0.03,,,+/-3.00E-02,Jy,2010ApJ...710.1462W,uncertainty,6.2 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
310,6.0 GHz (ATA),0.22,+/-0.01,Jy,6.0E9,0.22,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,6.0 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
311,5.95 GHz (EVLA),194.5,+/-0.08,milliJy,5.95E9,0.195,8.0E-5,8.0E-5,,,+/-8.00E-05,Jy,2011ApJ...739L..25L,statistical error,5.95 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
312,5.7 GHz (ATA),0.2,+/-0.02,Jy,5.7E9,0.2,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.7 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
313,5.7 GHz (ATA),0.22,+/-0.01,Jy,5.7E9,0.22,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.7 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
314,5.4 GHz (ATA),0.24,+/-0.01,Jy,5.4E9,0.24,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.4 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
315,CH_2_NH (Arecibo),3.5,+/-0.22,milliJy,5.29E9,0.0035,2.2E-4,2.2E-4,,,+/-2.20E-04,Jy,2008AJ....136..389S,uncertainty,5286.813 MHz,Line measurement; flux integrated over line; lines measured in emission,,Peak flux,,From new raw data
316,5.2 GHz (ATA),0.23,+/-0.01,Jy,5.2E9,0.23,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.2 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
317,5.0 GHz (ATA),0.23,+/-0.01,Jy,5.0E9,0.23,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.0 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
318,5000 MHz (NRAO),0.192,+/-0.029,Jy,5.0E9,0.192,0.029,0.029,,,+/-2.90E-02,Jy,1976ApJS...32..171S,uncertainty,5000 MHz,Broad-band measurement,15 32 44.2 +23 40 10 (B1950),Flux integrated from map,,From new raw data
319,5.0 GHz (ATA),0.24,+/-0.02,Jy,5.0E9,0.24,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,5.0 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
320,4.85 GHz,204.0,+/-27,milliJy,4.85E9,0.204,0.027,0.027,,,+/-2.70E-02,Jy,1991ApJS...75.1011G,rms noise,4.85       GHz,Broad-band measurement,153247.1 +233949 (B1950),Modelled datum,,From new raw data; Corrected for contaminating sources
321,4.85 GHz,208.0,+/-15  %,milliJy,4.85E9,0.208,0.0312,0.0312,,,+/-3.12E-02,Jy,1991ApJS...75....1B,uncertainty,4.85       GHz,Broad-band measurement,153247.1 +233945 (B1950),Peak flux,,From new raw data; Corrected for contaminating sources
322,4830 MHz (NRAO),224.0,,milliJy,4.83E9,0.224,,,,,,Jy,1990ApJS...72..621L,no uncertainty reported,4830   MHz,Broad-band measurement,15 34 58.4 +23 30 42 (J2000),Flux integrated from map,S/N = 32,From new raw data
323,4.8 GHz (VLA),183.13,,milliJy,4.8E9,0.183,,,,,,Jy,2010ApJ...720..555P,no uncertainty reported,4.8 GHz,Broad-band measurement,15 34 57.25 +23 30 11.41 (J2000),Flux integrated from map,,From new raw data
324,4.7 GHz (ATA),0.26,+/-0.02,Jy,4.7E9,0.26,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,4.7 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
325,4.6 GHz (ATA),0.24,+/-0.02,Jy,4.6E9,0.24,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,4.6 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
326,4.5 GHz (ATA),0.24,+/-0.02,Jy,4.5E9,0.24,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,4.5 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
327,4.4 GHz (ATA),0.23,+/-0.02,Jy,4.4E9,0.23,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,4.4 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
328,4.3 GHz (ATA),0.25,+/-0.02,Jy,4.3E9,0.25,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,4.3 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
329,3.6 GHz (ATA),0.24,+/-0.01,Jy,3.6E9,0.24,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,3.6 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
330,3.5 GHz (ATA),0.27,+/-0.01,Jy,3.5E9,0.27,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,3.5 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
331,3.4 GHz (ATA),0.28,+/-0.01,Jy,3.4E9,0.28,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,3.4 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
332,3.3 GHz (ATA),0.27,+/-0.01,Jy,3.3E9,0.27,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,3.3 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
333,3.2 GHz (ATA),0.27,+/-0.01,Jy,3.2E9,0.27,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,3.2 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
334,2.9 GHz (ATA),0.27,+/-0.01,Jy,2.9E9,0.27,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.9 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
335,2695 MHz (NRAO),0.279,+/-0.022,Jy,2.7E9,0.279,0.022,0.022,,,+/-2.20E-02,Jy,1976ApJS...32..171S,uncertainty,2695 MHz,Broad-band measurement,15 32 44.2 +23 40 10 (B1950),Flux integrated from map,,From new raw data
336,2695 MHz,0.26,+/-0.01,Jy,2.7E9,0.26,0.0131,0.0131,,,+/-1.31E-02,Jy,1983AJ.....88...20C,rms uncertainty,2695       MHz,Broad-band measurement,153246.90 +2340 8.2 (B1950),Flux integrated from map,,From new raw data
337,2.6 GHz (ATA),0.28,+/-0.01,Jy,2.6E9,0.28,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.6 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
338,2.6 GHz (ATA),0.28,+/-0.02,Jy,2.6E9,0.28,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.6 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
339,2.5 GHz (ATA),0.27,+/-0.02,Jy,2.5E9,0.27,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.5 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
340,2.5 GHz (ATA),0.29,+/-0.01,Jy,2.5E9,0.29,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.5 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
341,2380 MHz,312.0,+/-16.,milliJy,2.38E9,0.312,0.016,0.016,,,+/-1.60E-02,Jy,1978ApJS...36...53D,rms uncertainty,2380       MHz,Broad-band measurement; peak value reported,,Peak flux,,From new raw data
342,2.0 GHz (ATA),0.3,+/-0.01,Jy,2.0E9,0.3,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,2.0 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
343,1.9 GHz (ATA),0.3,+/-0.01,Jy,1.9E9,0.3,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.9 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
344,1.8 GHz (ATA),0.31,+/-0.01,Jy,1.8E9,0.31,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.8 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
345,1.7 GHz (ATA),0.3,+/-0.01,Jy,1.7E9,0.3,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.7 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
346,1.6 GHz (ATA),0.31,+/-0.03,Jy,1.6E9,0.31,0.03,0.03,,,+/-3.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.6 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
347,1.5 GHz (ATA),0.26,+/-0.02,Jy,1.5E9,0.26,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.5 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
349,1.4 GHz (VLA),299.0,,milliJy,1.42E9,0.299,,,,,,Jy,2006A&A...449..559B,no uncertainty reported,1.42   GHz,Broad-band measurement,15 32 46.92 +23 40 07.8 (J2000),Total flux,,From new raw data
351,1400 MHz,0.3,+/-0.04,Jy,1.4E9,0.3,0.0355,0.0355,,,+/-3.55E-02,Jy,1983AJ.....88...20C,rms uncertainty,1400       MHz,Broad-band measurement,153246.90 +2340 8.2 (B1950),Flux integrated from map,,From reprocessed raw data
352,1.40 GHz,302.0,,milliJy,1.4E9,0.302,,,,,,Jy,1992ApJS...79..331W,no uncertainty reported,1.4        GHz,Broad-band measurement,153247.1 +233945 (B1950),Peak flux,,From new raw data
353,1.4 GHz (ATA),0.32,+/-0.01,Jy,1.4E9,0.32,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.4 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
354,1.4 GHz (VLA),326.0,,milliJy,1.4E9,0.326,,,,,,Jy,2002AJ....124..675C,no uncertainty reported,1.4   GHz,Broad-band measurement,,Flux integrated from map,,Averaged from previously published data
355,1.4GHz,326.8,+/-9.8,milliJy,1.4E9,0.327,0.0098,0.0098,,,+/-9.80E-03,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,15 34 57.26 +23 30 11.1 (J2000),Flux integrated from map,,From new raw data
356,1.4 GHz (NVSS),326.0,+/-10,milliJy,1.4E9,0.326,0.01,0.01,,,+/-1.00E-02,Jy,2014MNRAS.440..696A,uncertainty,1.4 GHz,Broad-band measurement,15 34 57.27 +23 30 10.5 (J2000),Total flux,,Averaged from previously published data
357,1.4 GHz (CHIPASS),218.0,,milliJy,1.4E9,0.218,,,,,,Jy,2014MNRAS.440..696A,no uncertainty reported,1.4 GHz,Broad-band measurement,15 34 57.27 +23 30 10.5 (J2000),From fitting to map,Beam-weighted flux density,From reprocessed raw data
358,1.2 GHz (ATA),0.37,+/-0.02,Jy,1.2E9,0.37,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.2 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
359,1.2 GHz (ATA),0.33,+/-0.01,Jy,1.2E9,0.33,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.2 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
360,1.1 GHz (ATA),0.34,+/-0.01,Jy,1.1E9,0.34,0.01,0.01,,,+/-1.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.1 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 286,From new raw data
361,1.1 GHz (ATA),0.36,+/-0.02,Jy,1.1E9,0.36,0.02,0.02,,,+/-2.00E-02,Jy,2010ApJ...710.1462W,uncertainty,1.1 GHz,Broad-band measurement,,Flux integrated from map,Calibrator is 3C 48,From new raw data
362,365 MHz (Texas),0.435,+/-0.026,Jy,3.65E8,0.435,0.026,0.026,,,+/-2.60E-02,Jy,1996AJ....111.1945D,internal error,365        MHz,Broad-band measurement; obtained by interpolation over frequency,153246.819 234008.06 (B1950),Integrated from scans,Model:P;MFlag:+;EFlag:+;LFlag:+.,From new raw data
363,151 MHz,0.45,+/-18.1%,Jy,1.51E8,0.45,0.0813,0.0813,,,+/-8.13E-02,Jy,1996MNRAS.282..779W,estimated error,151        MHz,Broad-band measurement,153246.9 +233952 (B1950),Flux integrated from map; Beam filling or dilution corrected,,From new raw data; Corrected for contaminating sources
