No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
103,6 microns (Spitzer),69.3,,milliJy,5.0E13,0.0693,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,6 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
104,H_2S(6) (Spitzer),,<1.550E-13,erg/s/cm^2^,4.91E13,,,,3.16E-4,,<3.16E-04,Jy,2014ApJ...790..124S,3 sigma,6.1 microns,Broad-band measurement,,From fitting to map,,From new raw data
108,6.2 microns Spitzer,7.87E-12,+/-0.113E-12,erg/s/cm^2^,4.84E13,0.0163,2.33E-4,2.33E-4,,,+/-2.33E-04,Jy,2014ApJ...790..124S,uncertainty,6.2 microns,Broad-band measurement,,From fitting to map,,From new raw data
109,LW2 (ISOCAM),191.0,+/-10,milliJy,4.44E13,0.191,0.0191,0.0191,,,+/-1.91E-02,Jy,2004A&A...419..501F,estimated error,6.75   microns,Broad-band measurement,,Flux in fixed aperture,"2."" diameter aperture",From reprocessed raw data
110,H_2S(5) (Spitzer),1.674E-13,+/-0.331E-13,erg/s/cm^2^,4.34E13,3.86E-4,7.63E-5,7.63E-5,,,+/-7.63E-05,Jy,2014ApJ...790..124S,uncertainty,6.9 microns,Broad-band measurement,,From fitting to map,,From new raw data
111,7.7 microns Spitzer,3.7326E-11,+/-0.424E-12,erg/s/cm^2^,3.89E13,0.096,0.00109,0.00109,,,+/-1.09E-03,Jy,2014ApJ...790..124S,uncertainty,7.7 microns,Broad-band measurement,,From fitting to map,,From new raw data
112,8.0 microns IRAC AB,10.16,+/-0.10,mag,3.82E13,0.315,0.029,0.029,,,+/-2.90E-02,Jy,2014ApJS..212...18B,uncertainty,78410   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
113,8.0 microns IRAC AB,10.16,+/-0.10,mag,3.82E13,0.314,0.0289,0.0289,,,+/-2.89E-02,Jy,2014ApJS..212...18B,uncertainty,78410   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
114,7.9 microns Spitzer,582.2,,milliJy,3.79E13,0.582,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,7.9 microns,Broad-band measurement,15 34 57.24 +23 30 11.7 (J2000),Flux integrated from map,,From reprocessed raw data
115,8 microns (Spitzer),500.0,+/-5   %,milliJy,3.75E13,0.5,0.025,0.025,,,+/-2.50E-02,Jy,2009ApJ...698.1682W,typical accuracy,8 microns,Broad-band measurement,15 34 57.10 +23 30 11.0 (J2000),Peak flux,,From reprocessed raw data
